ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-11-12 14:47:47

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,9639.785566
total_histeresis_area_keithley,0.002881
num_cycles_analyzed,4
average_area_per_cycle,2409.946391
average_area_per_cycle_keithley,0.000720
cycle_areas,"['2742.870800', '2642.949682', '1113.240497', '3140.724587']"
cycle_areas_keithley,"['0.000717', '0.000863', '0.000358', '0.000943']"

DATOS DE HISTÉRESIS - ANÁLISIS COMPLETO
"Este archivo contiene promedios por fase, datos interpolados de histéresis y promedios generales"

PROMEDIOS POR FASE Y SETPOINT
Ciclo,Fase,KEITHLEY (V),Setpoint (kPA),TIVA Raw (V),Tipo
-5891582.096210,-1.754549,2,268.571144,Histéresis,9.806,-5891313.525066,-1.754475,Histéresis
-5884980.923280,-1.752590,2,116.412698,Histéresis,11.767,-5884864.510582,-1.752560,Histéresis
-5924522.617801,-1.764374,3,396.929801,Histéresis,0.0,-5924125.688000,-1.764250,Histéresis
-5917901.814815,-1.762392,3,29.435783,Histéresis,1.961,-5917872.379032,-1.762390,Histéresis
-5911240.252632,-1.760410,3,-102.431719,Histéresis,3.922,-5911342.684350,-1.760439,Histéresis
-5898306.733509,-1.756557,3,-42.266491,Histéresis,7.845,-5898349.000000,-1.756575,Histéresis
-5891944.716180,-1.754654,3,-23.426253,Histéresis,9.806,-5891968.142433,-1.754672,Histéresis
-5885273.881266,-1.752667,3,-198.558127,Histéresis,11.767,-5885472.439394,-1.752727,Histéresis
-5924960.165354,-1.764501,4,382.297629,Histéresis,0.0,-5924577.867725,-1.764384,Histéresis
-5918491.823219,-1.762565,4,51.451187,Histéresis,1.961,-5918440.372032,-1.762547,Histéresis
-5911764.559055,-1.760570,4,-206.761900,Histéresis,3.922,-5911971.320955,-1.760624,Histéresis
-5898821.905013,-1.756710,4,-386.762540,Histéresis,7.845,-5899208.667553,-1.756831,Histéresis
-5892266.589812,-1.754755,4,-363.647521,Histéresis,9.806,-5892630.237333,-1.754869,Histéresis
-5885902.124668,-1.752864,4,-209.815699,Histéresis,11.767,-5886111.940367,-1.752917,Histéresis
-5924174.852808,-1.764263,Promedio General,510.656613,Histéresis,0.0,-5923664.196196,-1.764108,Histéresis
-5917641.827495,-1.762312,Promedio General,206.117121,Histéresis,1.961,-5917435.710374,-1.762249,Histéresis
-5910988.369980,-1.760332,Promedio General,-30.805427,Histéresis,3.922,-5911019.175407,-1.760335,Histéresis
-5898034.176614,-1.756471,Promedio General,-7.857498,Histéresis,7.845,-5898042.034112,-1.756482,Histéresis
-5891599.712688,-1.754551,Promedio General,10.874014,Histéresis,9.806,-5891588.838674,-1.754556,Histéresis
-5885070.886459,-1.752611,Promedio General,-69.538324,Histéresis,11.767,-5885140.424784,-1.752630,Histéresis

FIN DEL ARCHIVO
