Muestra,Tiempo (s),Voltaje (V),Temperatura (°C)
216,9.533068,-129212848.000000,1344583.000
217,9.585207,-130201632.000000,1344583.000
218,9.637413,-130826976.000000,1343987.000
219,9.689441,-131215552.000000,1343987.000
220,9.741576,-132327864.000000,1341263.000
221,9.794146,-133921368.000000,1341263.000
222,9.846010,-135177840.000000,1342541.000
223,9.898827,-134646272.000000,1342541.000
224,9.950114,-131668928.000000,1342589.000
225,10.002174,-127254136.000000,1343295.000
226,10.054811,-122308920.000000,1343295.000
227,10.106691,-118030464.000000,1345285.000
228,10.158776,-114619976.000000,1345285.000
229,10.210976,-111515448.000000,1344853.000
230,10.263182,-108221240.000000,1344853.000
231,10.315415,-105616120.000000,1344519.000
232,10.367356,-106415976.000000,1344519.000
233,10.419389,-110158592.000000,1346120.000
234,10.471720,-114397328.000000,1346120.000
235,10.523749,-118356712.000000,1344438.000
236,10.575903,-121686248.000000,1344438.000
237,10.628169,-124471032.000000,1344797.000
238,10.680264,-126972624.000000,1344797.000
239,10.784409,-132090816.000000,1273189.000
240,10.836421,-133276544.000000,1106058.000
241,10.888491,-133743048.000000,1106058.000
242,10.940624,-134620032.000000,1132357.000
243,10.992806,-136201712.000000,1132357.000
244,11.045002,-137116400.000000,1150591.000
245,11.097093,-137062560.000000,1150591.000
246,11.149124,-134085992.000000,1318935.000
247,11.201487,-129216704.000000,1341207.000
248,11.253701,-124530040.000000,1341207.000
249,11.306163,-119767560.000000,1341100.000
250,11.357705,-116044592.000000,1341100.000
251,11.410193,-112929360.000000,1342098.000
252,11.462392,-109752576.000000,1342098.000
253,11.514597,-106535232.000000,1342989.000
254,11.566261,-105817376.000000,1342989.000
255,11.618703,-108652368.000000,1342678.000
256,11.670606,-112784112.000000,1342678.000
257,11.722590,-116848376.000000,1339969.000
258,11.774857,-120389072.000000,1339969.000
259,11.827238,-123411912.000000,1340775.000
260,11.879459,-125962280.000000,1340775.000
261,11.931114,-127996240.000000,1340662.000
262,11.983470,-129433600.000000,1340662.000
263,12.035498,-130371296.000000,1337155.000
264,12.087676,-130900696.000000,1337155.000
265,12.139650,-131431328.000000,1335835.000
266,12.192103,-132709152.000000,1335835.000
267,12.244339,-134367024.000000,1328288.000
268,12.296079,-136446784.000000,1201793.000
269,12.348275,-136347488.000000,1201793.000
270,12.400543,-133339816.000000,1106097.000
271,12.452746,-129110440.000000,1106097.000
272,12.504972,-124107712.000000,1105787.000
273,12.556860,-120008800.000000,1105787.000
274,12.609047,-116691192.000000,1103097.000
275,12.661251,-113445752.000000,1103097.000
276,12.713325,-109982192.000000,1101337.000
277,12.765417,-107805376.000000,1101337.000
278,12.818058,-109361048.000000,1100154.000
279,12.869653,-113472024.000000,1100154.000
280,12.922034,-117772208.000000,1099645.000
281,12.974217,-121765400.000000,1099645.000
282,13.026352,-125195376.000000,1098315.000
283,13.078225,-128088264.000000,1098315.000
284,13.130557,-130467680.000000,1097540.000
285,13.182317,-132147416.000000,1097540.000
286,13.234498,-133259728.000000,1097627.000
287,13.286621,-133915960.000000,1097627.000
288,13.338885,-134437424.000000,1097625.000
289,13.391021,-135669504.000000,1097625.000
290,13.443179,-137310160.000000,1098111.000
