Time (s), TIVA Raw
20.039125, -0.0045412681
20.091213, -0.00447396095
20.143424, -0.00441292347
20.19558, -0.00436021899
20.247674, -0.00431343913
20.2999, -0.00427241669
20.352264, -0.0042317165
20.404092, -0.00419292598
20.456383, -0.00415272498
20.508475, -0.00411074049
20.560563, -0.00406653713
20.612971, -0.00402577221
20.664764, -0.0039827493
20.716853, -0.00393543345
20.768987, -0.00388914835
20.821179, -0.00385524192
20.873454, -0.00385961332
20.925689, -0.00390074076
20.977948, -0.00394975161
21.030204, -0.00400796672
21.081808, -0.00406751967
21.134269, -0.00412682164
21.1861, -0.00418686401
21.238891, -0.00424955692
21.290777, -0.00431234668
21.343223, -0.00436721276
21.394831, -0.00441925879
21.446879, -0.00447079632
21.499071, -0.0045191301
21.551242, -0.00456220889
21.603405, -0.00460172118
21.655533, -0.00463942391
21.707878, -0.00467447377
21.759655, -0.00470851827
21.811929, -0.00473909499
21.863942, -0.00476416107
21.916296, -0.004785127
21.968222, -0.00480330502
22.020433, -0.00481919106
22.072641, -0.00482799997
22.125036, -0.00483367498
22.176747, -0.00484168622
22.228962, -0.0048496481
22.281002, -0.0048503722
22.333277, -0.00485174171
22.385533, -0.00485959276
22.437515, -0.00486903497
22.48998, -0.00486933672
22.541769, -0.00487293908
22.594114, -0.00488373078
22.646562, -0.00489782681
22.698115, -0.00491064088
22.750464, -0.00492272851
22.802502, -0.00493219168
22.854827, -0.00495645916
22.907089, -0.00496588088
22.958595, -0.00497590331
23.010969, -0.00498798443
23.062904, -0.00499584525
23.115433, -0.00499026523
23.167356, -0.00497808121
23.219367, -0.00497438991
23.271472, -0.00498032849
23.32393, -0.00498872017
23.375979, -0.00499399658
23.427899, -0.00498811621
23.480119, -0.00498386938
23.532287, -0.00498506333
23.584302, -0.00499050831
23.636955, -0.00499516306
23.688881, -0.00499909045
23.741138, -0.00500168278
23.793141, -0.00500326091
23.845309, -0.00500575918
23.897224, -0.00500721111
23.949305, -0.00500700948
24.001639, -0.0050063054
24.053512, -0.00500683765
24.105711, -0.00500908866
24.158079, -0.00501270312
24.210065, -0.00501431059
24.26219, -0.00501549057
24.314452, -0.00501251639
24.366363, -0.00500899506
24.418415, -0.00500697502
24.470595, -0.0050073117
24.522962, -0.00500630959
24.57492, -0.00500643905
24.62731, -0.00500879902
24.679438, -0.00500997249
24.731395, -0.00501070311
24.7835, -0.00500979041
24.835677, -0.00500973919
24.887717, -0.00500998878
24.939829, -0.0050186254
24.991917, -0.00501211965
25.044166, -0.00500811217
25.096352, -0.005007172
25.148569, -0.00500653404
25.200379, -0.00500696012
25.252547, -0.00500640505
25.304684, -0.00500276591
25.357126, -0.00495766568
25.408945, -0.00491976458
25.461165, -0.00488655501
25.513419, -0.0048489198
25.565476, -0.00478751538
25.617627, -0.00471082096
25.6698, -0.00463949888
25.721819, -0.00457286415
25.774216, -0.00450604176
25.826423, -0.00444118864
25.878921, -0.00438599195
25.930342, -0.00433978345
25.98275, -0.00429889792
26.034714, -0.00425803661
26.086833, -0.00421498576
26.138924, -0.00417336588
26.191148, -0.00413129106
26.243123, -0.00408600782
26.295419, -0.00404227385
26.347721, -0.00400177389
26.399566, -0.00395862013
26.451759, -0.00390315102
26.504077, -0.0038620315
26.556033, -0.00386234186
26.608964, -0.00389977102
26.660579, -0.00394770037
26.712323, -0.00400355271
26.76452, -0.00406393455
26.816651, -0.00412171892
26.868707, -0.00418479228
26.921013, -0.00424790289
26.973224, -0.00430886307
27.025251, -0.00436426745
27.077549, -0.00441525643
27.129607, -0.00446747196
27.181791, -0.00451654894
27.233795, -0.00456156209
27.286146, -0.00460310745
27.338296, -0.00464211218
27.390137, -0.00467860279
27.442433, -0.00471303984
