Time (s), TIVA Raw
5.869142, -0.005114361411
5.92164, -0.005122878938
5.973406, -0.005120169371
6.025794, -0.00510908023
6.077913, -0.005108999321
6.129868, -0.005108470796
6.182353, -0.005108340411
6.23434, -0.00510792539
6.286358, -0.005106584867
6.338408, -0.005105466698
6.390676, -0.005109451013
6.443003, -0.005108287442
6.49493, -0.005099769915
6.547178, -0.005097698886
6.599009, -0.005097452086
6.651621, -0.005095602828
6.703343, -0.005095073138
6.755589, -0.005094716908
6.807727, -0.005094017834
6.860009, -0.005093601649
6.911927, -0.005105070886
6.963882, -0.00510194106
7.01617, -0.005085698795
7.068586, -0.005084387376
7.120538, -0.005083774449
7.173007, -0.005041247932
7.224879, -0.00494081236
7.276956, -0.004781274183
7.329183, -0.004590739263
7.381071, -0.004439803597
7.537425, -0.004067927948
7.590248, -0.003993414284
7.641817, -0.004047819821
7.694187, -0.004189776664
7.746342, -0.004337657883
7.798146, -0.004470729909
7.850594, -0.004584396083
7.90238, -0.004687438195
7.954512, -0.004769803199
8.006849, -0.004823832423
8.059201, -0.0048618234
8.111113, -0.004885093658
8.163612, -0.004903112422
8.215294, -0.00494022097
8.267609, -0.00498770969
8.319602, -0.005022099358
8.371861, -0.005045487196
8.423806, -0.005063742865
8.475883, -0.005071293563
8.528166, -0.005074866931
8.580053, -0.005082745338
8.632426, -0.00508993573
8.684634, -0.005095486995
8.78896, -0.005102079012
8.841005, -0.005103613366
8.893419, -0.005104157026
8.945021, -0.005104709999
8.997319, -0.005105034215
9.049316, -0.00510081125
9.101799, -0.005093401414
9.15365, -0.005090751802
9.205697, -0.005093083601
9.25795, -0.005094728549
9.31006, -0.005094988155
9.362071, -0.005094205262
9.414385, -0.005093539949
9.466628, -0.005092305364
9.518652, -0.00508999161
9.570749, -0.005089419428
9.622836, -0.005087600439
9.675211, -0.005085183657
9.727179, -0.005084429286
9.779748, -0.005084075965
9.831357, -0.005083032884
9.883713, -0.005081319832
9.935667, -0.005080632982
9.98787, -0.005079306429
10.039832, -0.005080378032
10.091934, -0.005079304101
10.144119, -0.005074124783
10.196259, -0.005027328152
10.248517, -0.004920933279
10.300525, -0.004758849391
10.353297, -0.004570939636
10.404757, -0.004421915801
10.456992, -0.00430344342
10.509077, -0.004182349076
10.561244, -0.004059179046
10.613343, -0.003993296705
10.665656, -0.004053098673
10.717798, -0.004198149545
10.769749, -0.004347353533
10.821855, -0.004481766664
10.874047, -0.004599119129
10.926181, -0.004700026184
10.978653, -0.004783555632
11.030456, -0.004838368623
11.082819, -0.004868078686
11.134707, -0.004888004623
11.18717, -0.004897481413
11.239081, -0.004927367554
11.291459, -0.004977333592
11.343297, -0.005013274495
11.395995, -0.00503847783
11.447483, -0.005055035581
11.500016, -0.005064287107
11.551861, -0.005074400106
11.604229, -0.00508081459
11.656029, -0.005082854768
11.708479, -0.005086577148
11.760531, -0.005090608611
11.813256, -0.005093567888
