Timestamp,Elapsed_Time,Vdif,Va,Vb,Temperatura_C,Compensacion,Iexc
2025-12-04 12:22:50,201.637,0.0164722,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:50,201.689,0.0164745,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:50,201.741,0.0164704,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:50,201.793,0.0164638,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:50,201.846,0.0164576,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:50,201.898,0.0164528,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:50,201.950,0.0164491,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:50,202.002,0.0164467,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.054,0.0164419,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.106,0.0164405,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.158,0.0164435,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.210,0.0164432,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.263,0.0164421,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.315,0.0164406,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.367,0.0164391,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.419,0.0164381,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.471,0.0164374,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.523,0.0164369,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.576,0.0164334,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.628,0.0164326,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.680,0.0164344,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.732,0.0164335,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.784,0.0164328,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.836,0.0164316,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.888,0.0164301,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.940,0.0164285,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:51,202.993,0.0164272,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.045,0.0164252,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.097,0.0164235,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.149,0.0164234,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.201,0.0164227,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.253,0.0164210,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.305,0.0164190,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.357,0.0164174,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.410,0.0164162,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.462,0.0164145,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.514,0.0164124,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.566,0.0164107,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.619,0.0164095,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.670,0.0164082,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.722,0.0164066,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.775,0.0164047,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.827,0.0164030,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.879,0.0164009,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.931,0.0163986,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,203.983,0.0163966,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:52,204.035,0.0163946,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,204.087,0.0163929,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,204.140,0.0163915,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,204.192,0.0163902,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,204.244,0.0163888,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,204.296,0.0163861,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,204.348,0.0163815,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,204.400,0.0163745,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,204.452,0.0163638,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,204.505,0.0161222,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,204.557,0.0159095,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,204.609,0.0160903,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,204.661,0.0163233,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,204.713,0.0164309,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,204.765,0.0164653,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,204.817,0.0161090,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,204.870,0.0155217,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,204.922,0.0151805,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,204.974,0.0150145,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:53,205.026,0.0149309,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,205.078,0.0148865,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,205.130,0.0148590,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,205.182,0.0148419,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,205.234,0.0148346,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,205.287,0.0148327,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,205.339,0.0148337,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,205.391,0.0148341,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,205.443,0.0148351,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,205.495,0.0148374,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,205.548,0.0148402,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,205.600,0.0148424,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,205.652,0.0148450,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,205.704,0.0148497,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,205.757,0.0148515,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,205.808,0.0148509,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,205.860,0.0148519,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,205.913,0.0148538,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,205.964,0.0148550,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:54,206.016,0.0148540,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:55,206.069,0.0149163,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:55,206.121,0.0154807,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:55,206.173,0.0162463,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:55,206.225,0.0166370,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:55,206.277,0.0165299,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:55,206.330,0.0159179,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:55,206.382,0.0153564,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:55,206.434,0.0150847,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:55,206.486,0.0149513,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:55,206.538,0.0148859,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:55,206.590,0.0148600,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:55,206.642,0.0148552,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:55,206.694,0.0148679,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:55,206.746,0.0148738,0.0,0.00000000,30.28,0.000000,0.000000
2025-12-04 12:22:55,206.799,0.0148537,0.0,0.00000000,30.28,0.000000,0.000000
