ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-10-27 13:02:34

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,0.000262
total_histeresis_area_w_FP,0.000258
total_histeresis_area_keithley,0.000092
num_cycles_analyzed,2
average_area_per_cycle,0.000131
average_area_per_cycle_w_FP,0.000129
average_area_per_cycle_keithley,0.000046
cycle_areas,"['0.000122', '0.000140']"
cycle_areas_w_FP,"['0.000120', '0.000138']"
cycle_areas_keithley,"['0.000042', '0.000050']"

DATOS DE HISTÉRESIS - ANÁLISIS COMPLETO
"Este archivo contiene promedios por fase, datos interpolados de histéresis y promedios generales"

PROMEDIOS POR FASE Y SETPOINT
Ciclo,Fase,KEITHLEY (V),Setpoint (kPA),TIVA Filtrado (V),TIVA Raw (V),Tipo
-0.018593,-0.018592,-0.018780,2,-0.000029,Histéresis,6.0,-0.018622,-0.018622,-0.018790,Histéresis
-0.020734,-0.020733,-0.020930,2,-0.000028,Histéresis,6.5,-0.020762,-0.020762,-0.020940,Histéresis
0.007243,0.007243,0.007310,Promedio General,0.000000,Histéresis,0.0,0.007243,0.007243,0.007310,Histéresis
0.002938,0.002938,0.002950,Promedio General,-0.000015,Histéresis,1.0,0.002923,0.002923,0.002945,Histéresis
-0.001382,-0.001382,-0.001400,Promedio General,-0.000015,Histéresis,2.0,-0.001396,-0.001396,-0.001400,Histéresis
-0.005693,-0.005693,-0.005750,Promedio General,-0.000013,Histéresis,3.0,-0.005706,-0.005706,-0.005765,Histéresis
-0.010000,-0.010000,-0.010100,Promedio General,-0.000027,Histéresis,4.0,-0.010027,-0.010027,-0.010110,Histéresis
-0.014294,-0.014295,-0.014445,Promedio General,-0.000034,Histéresis,5.0,-0.014328,-0.014328,-0.014455,Histéresis
-0.018591,-0.018590,-0.018780,Promedio General,-0.000031,Histéresis,6.0,-0.018622,-0.018622,-0.018785,Histéresis
-0.020748,-0.020747,-0.020940,Promedio General,-0.000013,Histéresis,6.5,-0.020761,-0.020761,-0.020940,Histéresis

FIN DEL ARCHIVO
