Timestamp,Sample_Number,TIVA_Voltage_Raw_V,TIVA_Voltage_Filtered_V,TIVA_Temperature_C
2025-10-21 00:01:22.240000,4113,0.393330,0.323130,38.32
2025-10-21 00:01:22.260000,4114,0.000458,0.000458,32.32
2025-10-21 00:01:22.280000,4115,0.343132,0.323032,33.31
2025-10-21 00:01:22.300000,4116,0.333231,0.304032,40.32
2025-10-21 00:01:22.320000,4117,0.343734,0.303832,30.30
2025-10-21 00:01:22.340000,4118,0.323100,0.413100,58.42
2025-10-21 00:01:22.360000,4119,0.323034,0.131032,32.35
2025-10-21 00:01:22.380000,4120,-0.313033,0.203130,32.39
2025-10-21 00:01:22.400000,4121,0.323734,0.333630,32.31
2025-10-21 00:01:22.420000,4122,0.313032,0.045841,0.04
2025-10-21 00:01:22.440000,4123,0.423232,0.313213,32.30
2025-10-21 00:01:22.460000,4124,0.353331,-0.323120,30.40
2025-10-21 00:01:22.480000,4125,0.394032,0.383434,32.38
2025-10-21 00:01:22.500000,4126,0.313031,0.310004,41.31
2025-10-21 00:01:22.520000,4127,0.045842,0.303431,13.10
2025-10-21 00:01:22.540000,4128,0.303235,0.303332,20.31
2025-10-21 00:01:22.560000,4129,0.403239,0.373438,34.34
2025-10-21 00:01:22.580000,4130,0.373231,0.323231,4.58
2025-10-21 00:01:22.600000,4131,0.310004,0.323230,31.32
2025-10-21 00:01:22.620000,4132,0.103230,0.333130,32.31
2025-10-21 00:01:22.640000,4133,0.313040,0.403237,39.34
2025-10-21 00:01:22.660000,4134,0.343934,0.303133,31.00
2025-10-21 00:01:22.680000,4135,0.584131,0.584232,30.34
2025-10-21 00:01:22.700000,4136,0.321310,0.323533,30.33
2025-10-21 00:01:22.720000,4137,0.312031,0.323940,37.34
2025-10-21 00:01:22.740000,4138,0.393438,0.323130,34.32
2025-10-21 00:01:22.760000,4139,0.000458,0.000458,32.32
2025-10-21 00:01:22.780000,4140,0.343132,0.323032,33.31
2025-10-21 00:01:22.800000,4141,0.333231,0.304032,40.32
2025-10-21 00:01:22.820000,4142,0.343034,0.333532,30.31
2025-10-21 00:01:22.840000,4143,0.323100,0.413100,58.42
2025-10-21 00:01:22.860000,4144,0.323034,0.131032,32.35
2025-10-21 00:01:22.880000,4145,-0.313033,0.203130,32.39
2025-10-21 00:01:22.900000,4146,0.323834,0.353333,32.31
2025-10-21 00:01:22.920000,4147,0.313632,0.045841,0.04
2025-10-21 00:01:22.940000,4148,0.423232,0.313213,32.30
